Running time;;;;;;;
;;;;;;;
Single threaded tiled;01:03.2;01:02.7;01:03.4;01:05.5;01:07.0;01:11.7;01:33.5
Threads \ Tile size;20;25;30;35;40;50;80
1;01:07.652;01:07.799;01:07.940;01:11.208;01:18.150;01:17.530;01:38.701
2;00:37.822;00:38.045;00:42.251;00:41.091;00:38.518;00:39.739;00:51.362
4;00:22.502;00:23.320;00:32.394;00:26.451;00:23.291;00:22.902;00:36.319
6;00:18.140;00:18.515;00:31.145;00:20.183;00:19.302;00:19.623;00:34.358
8;00:16.619;00:16.915;00:30.954;00:17.716;00:16.823;00:19.623;00:34.418
;;;;;;;
Number of times a thread has waited for work;;;;;;;
;20;25;30;35;40;50;80
1;0;0;0;0;0;0;0
2;2468;2185;1907;1506;1382;1117;1408
4;12649;11537;9909;8715;9511;12011;21622
6;21335;22909;25356;29347;36418;51243;51767
8;25689;36564;49720;67896;83356;92263;81153
;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;
;20;25;30;35;40;50;80
1;543984;303448;196180;137217;96742;57702;24944
2;543984;303448;196180;137217;96742;57702;24944
4;543984;303448;196180;137217;96742;57702;24944
6;543984;303448;196180;137217;96742;57702;24944
8;543984;303448;196180;137217;96742;57702;24944
;;;;;;;
Number of times a thread has received work from a secondary producer (in pipelined mode);;;;;;;
;20;25;30;35;40;50;80
1;0;0;0;0;0;0;0
2;1041;956;934;888;891;851;758
4;5801;5345;5518;5454;5088;4245;2729
6;12528;12775;12566;11563;9869;7168;3066
8;23043;23625;21292;17776;13831;8031;3125
;;;;;;;
Number of times threads have waited to long for a pulse / waited to long for a pulse when producer was completed;;;;;;;
;20;25;30;35;40;50;80
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0
6;0,0;0,0;0,0;0,0;0,0;0,0;0,0
8;0,0;0,0;0,0;0,0;0,0;0,0;0,0
