2500x2500 @ DIKU, Set 1.9;;;;;;;;;;;
;;;;;;;;;;;
Running time;;;;;;;;;;;
Single threaded tiled;;;;;;;;;;;
Threads \ Tile size;10;20;30;40;50;60;70;80;90;100;150
1;02:55.5;02:05.4;01:55.4;01:50.3;01:48.1;01:46.2;01:50.4;01:48.8;01:49.2;01:47.8;01:46.9
2;02:01.2;01:13.0;01:00.9;00:57.0;00:55.4;00:54.0;00:55.7;00:54.7;00:54.8;00:54.1;00:53.5
4;01:30.0;00:43.1;00:33.0;00:30.2;00:28.4;00:27.5;00:28.1;00:27.6;00:27.5;00:27.3;00:26.8
6;01:31.5;00:32.9;00:23.7;00:20.4;00:19.2;00:18.8;00:18.9;00:18.6;00:18.5;00:18.3;00:18.0
8;01:39.1;00:28.1;00:19.2;00:16.0;00:14.8;00:14.3;00:14.4;00:14.1;00:13.9;00:13.9;00:13.6
;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150
1;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150
1;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289
2;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289
4;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289
6;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289
8;62500;15625;7056;3969;2500;1764;1296;1024;784;625;289
