Running time;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150
1;00:02.8;00:01.7;00:01.3;00:01.2;00:01.1;00:01.1;00:00.8;00:00.7;00:00.7;00:00.7;00:00.8
2;00:02.4;00:01.5;00:01.3;00:01.0;00:00.5;00:00.5;00:00.5;00:00.6;00:00.7;00:00.5;00:00.6
4;00:02.3;00:00.8;00:00.5;00:01.1;00:01.0;00:00.8;00:00.7;00:00.4;00:00.4;00:00.4;00:00.4
6;00:02.0;00:00.9;00:00.6;00:00.6;00:00.5;00:01.6;00:01.2;00:00.7;00:00.8;00:02.0;00:03.3
8;00:14.7;00:08.1;00:02.9;00:18.5;00:07.6;00:06.2;00:01.2;00:04.2;00:00.9;00:00.6;00:07.6
;;;;;;;;;;;
Number of times a thread has waited for work;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150
1;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0;0;0
6;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;
Number of times a thread has completed a computational kernel;;;;;;;;;;;
;10;20;30;40;50;60;70;80;90;100;150
1;250000;62500;27889;15625;10000;7056;5184;3969;3136;2500;1156
2;250000;62500;27889;15625;10000;7056;5184;3969;3136;2500;1156
4;250000;62500;27889;15625;10000;7056;5184;3969;3136;2500;1156
6;250000;62500;27889;15625;10000;7056;5184;3969;3136;2500;1156
8;250000;62500;27889;15625;10000;7056;5184;3969;3136;2500;1156
